Date : 2020-03-13 19:46:18
Directory : c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main
Total : 83 files,  4888 codes, 1770 comments, 1110 blanks, all 7768 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         70 |      3,855 |      1,770 |      1,109 |      6,734 |
| JSON     |         12 |      1,025 |          0 |          0 |      1,025 |
| CSS      |          1 |          8 |          0 |          1 |          9 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |         83 |      4,888 |      1,770 |      1,110 |      7,768 |
| deploy                                                                                                                                          |         11 |         11 |          0 |          0 |         11 |
| deploy\paths                                                                                                                                    |         11 |         11 |          0 |          0 |         11 |
| driverStation                                                                                                                                   |          2 |      1,022 |          0 |          1 |      1,023 |
| driverStation\themes                                                                                                                            |          1 |          8 |          0 |          1 |          9 |
| driverStation\themes\Ridgbotics                                                                                                                 |          1 |          8 |          0 |          1 |          9 |
| java                                                                                                                                            |         70 |      3,855 |      1,770 |      1,109 |      6,734 |
| java\frc4388                                                                                                                                    |         70 |      3,855 |      1,770 |      1,109 |      6,734 |
| java\frc4388\robot                                                                                                                              |         61 |      3,410 |      1,642 |        992 |      6,044 |
| java\frc4388\robot\commands                                                                                                                     |         45 |      1,778 |        831 |        475 |      3,084 |
| java\frc4388\robot\commands\auto                                                                                                                |         10 |        233 |        157 |         69 |        459 |
| java\frc4388\robot\commands\climber                                                                                                             |          3 |         96 |         46 |         27 |        169 |
| java\frc4388\robot\commands\drive                                                                                                               |         13 |        686 |        292 |        164 |      1,142 |
| java\frc4388\robot\commands\intake                                                                                                              |          3 |        107 |         49 |         33 |        189 |
| java\frc4388\robot\commands\shooter                                                                                                             |         11 |        401 |        177 |        111 |        689 |
| java\frc4388\robot\commands\storage                                                                                                             |          4 |        234 |         96 |         63 |        393 |
| java\frc4388\robot\subsystems                                                                                                                   |         12 |      1,095 |        555 |        351 |      2,001 |
| java\frc4388\utility                                                                                                                            |          9 |        445 |        128 |        117 |        690 |
| java\frc4388\utility\controller                                                                                                                 |          5 |        248 |         69 |         72 |        389 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\DriveOffLineBackward.wpilib.json                              | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\DriveOffLineForward.wpilib.json                               | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\EightBallMid0.wpilib.json                                     | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\EightBallMid1.wpilib.json                                     | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\EightBallMid2.wpilib.json                                     | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\EightBallMidComplete.wpilib.json                              | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\FiveBallMidComplete.wpilib.json                               | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\SixBallMid0.wpilib.json                                       | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\SixBallMid1.wpilib.json                                       | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\SixBallMidComplete.wpilib.json                                | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\deploy\paths\TenBallMidComplete.wpilib.json                                | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\driverStation\GOAT DRIVERSTATION.json                                      | JSON     |      1,014 |          0 |          0 |      1,014 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\driverStation\themes\Ridgbotics\ridgeboticstheme.css                       | CSS      |          8 |          0 |          1 |          9 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\Constants.java                                          | Java     |        157 |         32 |         41 |        230 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\Main.java                                               | Java     |          9 |         16 |          5 |         30 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\Robot.java                                              | Java     |         59 |         63 |         24 |        146 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\RobotContainer.java                                     | Java     |        312 |        145 |         96 |        553 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\InterruptSubystem.java                         | Java     |         21 |         14 |          8 |         43 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\AutoPath1FromCenter.java                  | Java     |         22 |         19 |          6 |         47 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\AutoPath2FromRight.java                   | Java     |         26 |         23 |          6 |         55 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\DriveOffLineBackward.java                 | Java     |         13 |         14 |          5 |         32 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\DriveOffLineForward.java                  | Java     |         11 |         14 |          5 |         30 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\EightBallAutoMiddle.java                  | Java     |         11 |         14 |          5 |         30 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\FiveBallAutoMiddle.java                   | Java     |         12 |         13 |          4 |         29 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\SixBallAutoMiddle.java                    | Java     |         16 |         14 |          6 |         36 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\TankDriveVelocity.java                    | Java     |         42 |         14 |         12 |         68 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\TenBallAutoMiddle.java                    | Java     |         40 |         16 |          4 |         60 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\auto\Wait.java                                 | Java     |         40 |         16 |         16 |         72 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\climber\DisengageRachet.java                   | Java     |         26 |         14 |          9 |         49 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\climber\RunClimberWithTriggers.java            | Java     |         42 |         15 |          9 |         66 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\climber\RunLevelerWithJoystick.java            | Java     |         28 |         17 |          9 |         54 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\drive\DrivePositionMPAux.java                  | Java     |         60 |         25 |          9 |         94 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\drive\DriveStraightAtVelocityPID.java          | Java     |         29 |         17 |          7 |         53 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\drive\DriveStraightToPositionMM.java           | Java     |         56 |         22 |          9 |         87 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\drive\DriveStraightToPositionPID.java          | Java     |         49 |         22 |          9 |         80 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\drive\DriveWithJoystick.java                   | Java     |         54 |         43 |         14 |        111 |
| c:\Users\Ridgebotics\Documents\GitHub\RiseOfRidgebotics2020\src\main\java\frc4388\robot\commands\drive\DriveWithJoystickAuxPID.java             | Java     |         48 |         17 |         13 |         78 |
